UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"5";"0";6.81296073900;50.80844950000;"0";Rhein-Erft-Kreis
"3";"0";"0";6.68716698800;51.83545734000;"2";Borken
"2";"0";"0";7.69630838400;51.37250957500;"0";Märkischer Kreis
"3";"2";"0";6.93069097700;50.91893459600;"0";Köln
"3";"5";"0";7.15555739300;50.72105176500;"0";Bonn
"3";"5";"2";7.01198250900;51.22613881100;"1";Mettmann
"3";"5";"2";7.21375069600;51.58025858800;"1";Recklinghausen
"2";"5";"0";6.82849887100;51.33309123000;"0";Mettmann
"2";"5";"0";6.85080582700;51.29333752200;"0";Mettmann
"3";"0";"0";7.13606337100;50.98336966800;"0";Rheinisch-Bergischer Kreis
"3";"5";"2";6.18936904200;51.75430539700;"1";Kleve
"3";"0";"0";6.24134836100;51.85094438500;"2";Kleve
"3";"5";"2";6.71721175800;51.25357107100;"0";Rhein-Kreis Neuss
"2";"0";"2";7.44083085200;52.28694820600;"2";Steinfurt
"3";"4";"2";7.18071775900;50.77007835300;"0";Rhein-Sieg-Kreis
"3";"5";"1";6.85729944800;51.51624449600;"0";Oberhausen
"3";"2";"1";7.20245345900;51.17998301900;"0";Remscheid
"3";"5";"0";6.88505222700;51.44393154700;"1";Mülheim an der Ruhr
"3";"0";"1";7.18218313200;50.90067500500;"0";Rheinisch-Bergischer Kreis
"3";"5";"0";7.12161261800;50.98461474200;"0";Rheinisch-Bergischer Kreis
"2";"5";"2";6.78539475500;51.50898367600;"1";Duisburg
"3";"5";"1";6.81637463800;51.23116996800;"0";Düsseldorf
"3";"5";"1";8.70010416200;51.73539942100;"0";Paderborn
"3";"0";"0";6.79046902500;51.41704037300;"1";Duisburg
"2";"5";"0";6.95576525900;50.95709225900;"0";Köln
"3";"3";"0";6.79021949000;51.91679111100;"1";Borken
"3";"0";"0";6.95578456100;50.95709769000;"0";Köln
"3";"4";"0";8.45695399400;51.96514269400;"0";Bielefeld
"3";"0";"0";8.55141997200;52.05731309500;"0";Bielefeld
"3";"4";"0";6.93935894400;50.92703996100;"0";Köln
"2";"5";"0";7.98684154500;51.95999602800;"0";Warendorf
"3";"6";"2";6.91444337300;50.80620459800;"1";Rhein-Erft-Kreis
"3";"0";"0";6.89171853200;50.87278544700;"1";Rhein-Erft-Kreis
"3";"5";"2";6.92235282600;51.68435897300;"0";Recklinghausen
"3";"0";"0";6.96928438100;50.93092331600;"1";Köln
"2";"6";"0";6.92274682900;50.91285052900;"1";Köln
